away,home,start_dt,away_score,home_score,over_under,game_id,year,minute,total,over_hit,under_hit,push,city,humidity_0,humidity_1,humidity_2,humidity_3,humidity_4,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,weather_0,weather_1,weather_2,weather_3,weather_4,wind_dir_0,wind_dir_1,wind_dir_2,wind_dir_3,wind_dir_4,wind_spd_0,wind_spd_1,wind_spd_2,wind_spd_3,wind_spd_4
Toronto Blue Jays,Boston Red Sox,2013-05-11T16:35:00Z,3,2,9.5,325,2013,35,5,FALSE,TRUE,FALSE,Boston,61,57,57,54,61,297.09,298.08,298.32,297.72,297.21,sky is clear,broken clouds,sky is clear,sky is clear,sky is clear,170,180,190,180,180,4,6,7,7,7
Toronto Blue Jays,Boston Red Sox,2013-05-12T16:35:00Z,12,4,9.5,341,2013,35,16,TRUE,FALSE,FALSE,Boston,68,73,83,72,72,294.3,293.39,292.14,291.64,291.54,overcast clouds,overcast clouds,light rain,broken clouds,overcast clouds,200,180,210,200,200,7,5,8,9,8
Colorado Rockies,Chicago Cubs,2013-05-13T23:05:00Z,1,9,8,355,2013,5,10,TRUE,FALSE,FALSE,Chicago,NA,NA,NA,NA,NA,283.47,281.97,280.87,280.03,279.39,scattered clouds,overcast clouds,overcast clouds,overcast clouds,broken clouds,158,105,96,172,172,3,2,0,1,0
New York Mets,Chicago Cubs,2013-05-18T16:05:00Z,2,8,8.5,374,2013,5,10,TRUE,FALSE,FALSE,Chicago,NA,NA,NA,NA,NA,292.56,291.78,291.07,289.94,290.16,overcast clouds,overcast clouds,overcast clouds,overcast clouds,overcast clouds,112,22,17,13,66,0,1,0,2,2
Texas Rangers,Boston Red Sox,2013-06-05T22:10:00Z,3,2,9,417,2013,10,5,FALSE,TRUE,FALSE,Boston,40,39,44,53,46,294.37,293.75,292.13,289.83,288.26,sky is clear,sky is clear,sky is clear,sky is clear,sky is clear,76,306,306,306,317,2,4,4,4,3
Los Angeles Angels,Boston Red Sox,2013-06-08T16:05:00Z,9,5,10.5,421,2013,5,14,TRUE,FALSE,FALSE,Boston,94,94,95,94,95,287.16,287.51,287.41,287.2,286.78,mist,mist,mist,mist,mist,50,61,75,56,128,2,2,4,3,0
Pittsburgh Pirates,Chicago Cubs,2013-06-08T19:05:00Z,6,2,7,425,2013,5,8,TRUE,FALSE,FALSE,Chicago,63,60,59,44,54,291.51,292.27,292.45,292.3,291.6,sky is clear,sky is clear,sky is clear,sky is clear,sky is clear,16,20,23,225,355,4,2,4,4,1
Los Angeles Angels,Boston Red Sox,2013-06-08T22:15:00Z,2,7,8.5,428,2013,15,9,TRUE,FALSE,FALSE,Boston,96,94,95,97,97,286,285.76,285.5,285.35,285.3,mist,mist,mist,mist,mist,163,37,105,90,76,2,2,3,5,3
Tampa Bay Rays,Boston Red Sox,2013-06-18T16:05:00Z,1,5,10,452,2013,5,6,FALSE,TRUE,FALSE,Boston,52,48,44,37,47,300.82,301.99,302.08,302.35,299.35,sky is clear,few clouds,few clouds,few clouds,proximity thunderstorm,231,274,212,212,348,2,0,3,3,0
Tampa Bay Rays,Boston Red Sox,2013-06-18T23:05:00Z,1,3,10,460,2013,5,4,FALSE,TRUE,FALSE,Boston,95,96,96,96,97,290.38,290.29,289.48,289.28,288.95,mist,mist,sky is clear,light rain,mist,226,226,226,227,227,4,4,4,4,4
Houston Astros,Chicago Cubs,2013-06-21T17:20:00Z,1,3,10,466,2013,20,4,FALSE,TRUE,FALSE,Chicago,57,55,54,52,51,297.200666667,298.669,299.028,300.219,301.41,sky is clear,sky is clear,sky is clear,sky is clear,sky is clear,164,159,157,153,149,4,2,3,2,1
Houston Astros,Chicago Cubs,2013-06-22T19:05:00Z,4,3,9.5,481,2013,5,7,FALSE,TRUE,FALSE,Chicago,77,86,75,87,79,295.751666667,294.090333333,296.3792,294.0595,295.69,moderate rain,moderate rain,light rain,moderate rain,sky is clear,172,113,148,73,93,1,1,1,0,1
Colorado Rockies,Boston Red Sox,2013-06-25T22:10:00Z,4,11,10.5,493,2013,10,15,TRUE,FALSE,FALSE,Boston,62,66,71,84,80,302.87,302.22,298.08,296.64,295.05,sky is clear,thunderstorm,mist,mist,mist,279,269,269,269,251,3,2,2,2,2
Colorado Rockies,Boston Red Sox,2013-06-26T19:05:00Z,3,5,9.5,506,2013,5,8,FALSE,TRUE,FALSE,Boston,46,49,33,55,59,305.26,304.88,304.53,303.51,302.32,sky is clear,sky is clear,sky is clear,sky is clear,broken clouds,190,207,273,217,216,0,0,3,1,0
Toronto Blue Jays,Boston Red Sox,2013-06-28T22:10:00Z,5,7,10,518,2013,10,12,TRUE,FALSE,FALSE,Boston,92,97,96,88,95,291.71,291.48,291.18,290.99,290.94,mist,mist,mist,mist,mist,33,92,92,92,48,2,3,3,3,1
Milwaukee Brewers,Chicago Cubs,2013-07-29T23:05:00Z,5,0,7.25,606,2013,5,5,FALSE,TRUE,FALSE,Chicago,50,51,57,65,67,292.92,292.92,291.36,289.27,288.78,sky is clear,sky is clear,sky is clear,sky is clear,sky is clear,292,224,255,235,252,2,2,2,0,1
Seattle Mariners,Boston Red Sox,2013-08-01T22:10:00Z,7,8,8.5,614,2013,10,15,TRUE,FALSE,FALSE,Boston,61,69,73,92,85,297.19,298.15,297.15,291.778,292.01,sky is clear,sky is clear,sky is clear,light rain,broken clouds,160,130,130,208,213,2,2,2,3,2
